question,class,label
На руках ведь всю церемонию должен быть ребёнок? У крестной или крестного?,1,1
"Доброе утро. Девушки, как считаете, можно ли дочу лечить тем же что и сына? Сыну почти 4 года, загноились глаза, прописали протирать раствором Фурацилина и капать ципролет. Сегодня у дочи почти 1.5 года тоже загноились глаза, пока только протираю.",0,1
В смысле писать? В полицию звоните.,1,0
"Отозвался - значит сам себя лишил водит.прав, минимум, на 1,5 года 
Где такие участники ДТП водятся? ",1,0
Ребёнок в коляске? Или как?) Мой просто вообще на спине не лежит( тоже пробовала так готовить),1,0
"Ну мне сложно на «ты», так как мы не знакомы. Доктор наук, опять же А каких, кстати? ",0,0
Здравствуйте! Подскажите у ребенка 8 мес. температура 38.2 что делать? В матрешку ехать или скорую? Первый раз такое...,1,1
"Ну на счёт вакцинации я сильно не уверена, но просто через продукты в кровь не попадёт зараза, иначе мы не вылазили бы из инфекционок) это как забеременеть через воду в ванной )) нужен именно обмен жидкостями, в открытую рану слюна же не текла, правильно? Значит все хорошо будет ) по воздуху только страх передаётся ",0,0
"Добрый вечер! Подскажите , кто пользовался детской посудой из бамбука ? Где покупали?",1,1
"Что вам даст количество детей? Ничего. Десять детей могут жить с холодной матерью, которая получает удовлетворение от рождения детей, но не умеет общаться с подрастающим детьми, поэтому вынуждена рожать снова и снова, как только предыдущий малыш дорастает до возраста, сложного для матери.",1,0
А ссылка осталась у вас? ,1,0
"Я без понятия? Мы покупали все 3, а потом периодически слышала информацию, что ставят бесплатно",1,1
"девушки, добрый день!

А есть тут мастер по волосам, который умеет распутывать колтуны? у меня волос прямой, слегка длиннее лопаток. Но как-то от езды на мопеде образовался колтун такой, что вообще никак не распутать самостоятльно. Сталкивалась уже с этой проблемой на острове и чудо девочка распутала за пол часа. Может среди вас, кто сможет? Мне бы и кончики заодно после подрезать:)

Территориально - Петингет, Семиньяк, Каребокан, Кута, Чангу.",0,1
"А оставшийся срок вы не берете в расчет? Если я взял на 10 лет,а осталось платить 2, вы думаете выгодно рефинансироваться при условии снижении ставки на 1,5 пп?",1,1
Вы в ГПЦ пойдёте ?  Платно?,0,0
"Сколько человек/ребятишек крестили? (не хочу, чтобы много народу было)",1,0
"Девочки хочу с вами посоветоваться)
Как прилетела, начала сильно отпекать . Ещё живот постоянно вздутый ( первое время ела их местную еду).

Как бороться с отеками ?  йога, растяжка, спорт - это есть  

Может какие-то рецепты, чаи ?",1,1
"Пойдет на стенку? (Я в куре что отправляю во второй раз, я внятного ответа/совета не получил)",1,0
"Девочки, привет! Может кто знает, где продаются вейлы? Или может кто продаёт?",0,1
А есть что типа памяти терария или что то того? Может мир превысил?,1,0
"Привет)Может кто знает хорошие магазины одежды? Хлопок,лен с большими размерами.Хотим двух мам отправить на шопинг )",1,1
Да вы что? А почему?,0,0
Что значит с вашей помощью? ,1,1
"А вообще, кто-нибудь подскажет может - инет, который предлагают изначально - нормальный? Есть смысл заморачиваться?",1,1
А как имя узнал? Интересно же,1,0
"Девочки, никто не сталкивался у малыша 6 мес, синячки под глазами не проходят?(раньше такие были, когда спатт хочет, а теперь постоянно, сиреневенькие ) а вкупе с тем, что на сон уходим каждые 1,5 часа(иначе устаёт), меня настораживает... Или может на зубы такое быть? Вот говорят, если ребёнок бодр и весел, то все ок. А если спать начинает проситься каждый час, это бодр?",0,1
"Нет, не делали, не знаю почему. Тоже об этом думала. Думала, может без меня делали? Но я от ребёнка н куда не отлучалась. Или это все делают как только родился?",1,1
"Какая шуба!? Верблюжий мех, монгольский, 10 кг 12 тугриков",1,0
знаешь? твоя очередь фото в маске показывать,1,0
"доброе утро, а почему так делают, расскажите? честно, ни разу не слышала что батареи снимают",1,0
"Всем привет девочки!

У кого нибудь есть в аптечке ГЕНТАМИЦИН? 
Супруг отравился (( 
А у нас как ни странно именно от отравления антибиотиков нет",1,1
"Девочки всем привет,подскажите что делать,доче 1,5 два дня как не может прокататься,начинает какать,тужится очень сильно,я вижу что очень твёрдый калл идёт (мы на унитаз ходим) немного вытолкнет и вскрикивает начинает плакать очень сильно,я так понимаю что это запор и она зажимается и все обратно... поставила вчера пол свечки глицериновой детской эффекта 0. Сегодня вижу что жмётся,резко плачет,но отказывается идти в туалет и в подгузник тоже,поставила ещё пол свечки и опять ничего. Что делать? Первый раз у нас такое",1,1
К вопросу кривошеи. Может у кого такое было. Как лечили? Мы сейчас проходим курс массажа. Сегодня 7е будет уже и я пока улучшений не вижу не понимаю почему так...,1,1
"Верхнее более менее к моему нормальному приближено, обычно 110-120. А вот 60 это маловато((( настойки в аптеке продаются? Идея с коньячком мне нравится. Я не особый любитель крепких напитков, а на ГВ так вообще практически трезвенник, но сейчас так захотелось ",1,1
"Всем привет! Подскажите, плиз, где в Чангу, Керобокан хорошие йога залы? Виньяса или хатха. 
Благодарю ",1,1
Девочки подскажите мыло которое хорошо отстирывает белое ? Как наши типо ушастый нянь,1,1
"Там есть спорные моменты. В части есть домыслы.
Но, всё вытекает из реформы минздрава. Отсюда не хватка медицинских кадров, не хватка больниц.
Эпидемия пройдет, построенные больницы снова закрывать? Ведь содержание их - это также большие деньги.",0,1
"Девочки, от газиков врач посоветовала боботик или эспумизан.. как определить, колики у нас или газики,если вообще разница есть..и стоит ли эти лекарства брать вообще? 
Мы вечерами можем часов по 5-6 на руках,плачет,выгибается,то успокоится..в животике бурлит.. газики выйдут,уснет неналолго и опять по новой((((",0,1
"Здравствуйте, девушки! Ребенку 11 месяцев. Высокая температура третий день до 39 и ооочень обильное слюноотделение может быть симптомом чего-то, кроме зубов? Например, при боли в горле?",1,1
